pid,class,role
10038040,2,train
10059030,2,train
10453020,2,train
10458020,2,train
10546010,2,train
10769010,2,train
10818040,2,train
11067020,2,train
11071010,1,train
11277010,2,train
11347030,2,train
11378010,2,train
11387020,1,train
11590020,2,train
11608010,2,train
11608040,2,train
11841010,1,train
11999020,2,train
12005010,2,train
12010010,2,train
12010020,2,train
12302010,1,train
12494040,2,train
12507010,2,train
12648040,2,train
12653040,2,train
12695020,2,train
12695030,2,train
12709020,2,train
12715030,1,train
12864020,2,train
12979010,2,train
13054040,2,train
13176020,2,train
13208010,2,train
13211010,1,train
13231020,1,train
13238010,1,train
13371012,2,train
13552020,2,train
13573010,2,train
13590030,2,train
13772020,2,train
13894010,2,train
13899040,2,train
13902010,2,train
14028020,2,train
14072010,2,train
14085010,2,train
14115020,2,train
14215030,2,train
14247010,2,train
14247040,2,train
14259030,2,train
14272010,2,train
14272011,1,train
14307010,1,train
14332010,2,train
14433020,1,train
14434030,2,train
14587011,2,train
14619021,2,train
14624010,2,train
14746010,2,train
14758020,2,train
14758030,2,train
14782010,2,train
14787010,2,train
15015020,2,train
15225020,2,train
15230010,2,train
15230020,2,train
15236040,2,train
15372010,2,train
15447010,2,train
15511040,2,train
15516010,2,train
15625010,2,train
15726010,2,train
15781010,2,train
15833010,2,train
15833020,2,train
15836010,2,train
15897020,2,train
15983010,2,train
15995020,2,train
16013010,1,train
16024010,2,train
16048020,2,train
16107010,2,train
16174010,2,train
16174040,2,train
16197020,2,train
16211010,2,train
16412010,2,train
16420020,2,train
16433020,2,train
16631020,2,train
16648010,2,train
16715030,2,train
16747010,2,train
16747020,2,train
16799040,2,train
16973030,2,train
16996010,1,train
16996020,2,train
17061010,1,train
17282020,2,train
17392010,2,train
17392040,2,train
17492010,1,train
17492040,2,train
17707040,2,train
17707041,2,train
17952010,2,train
18100010,2,train
18301010,1,train
18309020,2,train
18345020,2,train
18364011,1,train
18421010,2,train
18508011,2,train
18508040,2,train
18531020,2,train
18536010,2,train
18566010,2,train
18686030,2,train
18776010,2,train
18782010,2,train
18828010,2,train
18918011,2,train
19286010,2,train
19433030,2,train
19742010,2,train
19742040,2,train
19822010,2,train
20077010,2,train
20093010,2,train
20093041,2,train
20114010,2,train
20315020,2,train
20346010,1,train
20442010,2,train
20527010,2,train
20540020,2,train
20554010,2,train
20558010,2,train
20558020,2,train
20678010,2,train
21141020,2,train
21269010,2,train
21332010,2,train
21412010,2,train
21416010,2,train
21416041,2,train
21448020,2,train
21746010,2,train
21774010,2,train
21825020,2,train
22026010,2,train
22061010,2,train
22067011,2,train
22330020,2,train
22364010,2,train
22388030,2,train
22439040,2,train
22439041,2,train
22523030,2,train
22583020,2,train
22600010,2,train
22600040,2,train
22738010,2,train
22738020,2,train
22999010,1,train
23108040,2,train
23186010,2,train
23186040,2,train
23344010,2,train
23486011,2,train
23641010,2,train
23678020,2,train
23678030,2,train
23844010,2,train
24103020,2,train
24407011,2,train
24417010,2,train
24420010,2,train
24977020,2,train
25361020,2,train
25383040,1,train
25400011,2,train
25411010,2,train
25624010,2,train
25624040,1,train
30683020,2,train
30873010,2,train
30956010,2,train
31019040,2,train
31059030,2,train
31337010,2,train
31408020,2,train
31590010,2,train
31813020,2,train
31833010,2,train
31883020,2,train
31919040,2,train
31929010,2,train
32058011,2,train
32126030,2,train
32148020,2,train
32202010,2,train
32209031,2,train
32256010,2,train
32260010,2,train
32260020,1,train
32266010,2,train
32373020,2,train
32481040,2,train
32760030,1,train
32801010,2,train
32821010,2,train
32877010,1,train
32891030,2,train
32921010,2,train
32929010,2,train
32930010,2,train
32985030,2,train
33006010,2,train
33006020,2,train
33014010,2,train
33028010,2,train
33073010,2,train
33110020,2,train
33502010,2,train
33504010,1,train
33513021,2,train
33530010,1,train
33533040,2,train
33605010,2,train
33884020,2,train
33935020,2,train
33938020,2,train
33951010,2,train
34049020,2,train
34276020,2,train
34290020,2,train
34353010,2,train
34353020,2,train
34437020,2,train
34470010,2,train
34476030,2,train
34523010,2,train
34524030,2,train
34682030,2,train
34753010,2,train
34768040,2,train
34855010,2,train
34884020,2,train
34998010,2,train
35019010,2,train
35019040,2,train
35171010,2,train
35265010,1,train
35265020,2,train
35320010,2,train
35320020,2,train
35438010,2,train
35614010,1,train
35686020,2,train
35785020,2,train
35888010,2,train
36044040,2,train
36129030,2,train
36141010,2,train
36230020,2,train
36233030,2,train
36345010,2,train
36408020,1,train
36495040,2,train
36758010,2,train
36866040,2,train
37044040,2,train
37048010,2,train
37048020,2,train
37503021,2,train
37547010,2,train
37597030,2,train
37767010,2,train
37776010,2,train
37807020,2,train
37865030,2,train
37871020,2,train
37949010,2,train
37949040,2,train
38009020,2,train
38015030,2,train
38031010,2,train
38033030,2,train
38047010,2,train
38144040,2,train
38333040,2,train
38394010,2,train
38394020,2,train
38517010,2,train
38523020,2,train
38523030,2,train
38789010,2,train
38815010,2,train
38888040,2,train
38932011,1,train
39003020,2,train
39053010,2,train
39082010,2,train
39159010,2,train
39184010,2,train
39185040,2,train
39260010,2,train
39316010,2,train
39319020,2,train
39411030,2,train
39419020,2,train
39466031,2,train
39556010,2,train
39753020,2,train
39755010,2,train
40126020,2,train
40407030,2,train
40441010,2,train
40475010,2,train
40608010,2,train
40609010,2,train
40761040,2,train
41037010,2,train
41037040,1,train
41350010,2,train
41532040,2,train
41544010,2,train
41590040,2,train
41623010,2,train
41670010,2,train
41880010,2,train
41942010,2,train
41942040,2,train
41977010,2,train
42050020,2,train
42165040,2,train
42327020,2,train
42336010,2,train
42402010,2,train
42402040,2,train
42529020,2,train
42529030,2,train
42656010,2,train
42667020,2,train
42844020,2,train
43372010,2,train
43387010,2,train
43468010,2,train
43525010,2,train
43586010,1,train
43586020,2,train
43771040,2,train
43870010,2,train
43870020,1,train
43893020,2,train
44095020,2,train
44135010,2,train
44169031,2,train
44192040,2,train
44390020,2,train
44427020,2,train
44503020,2,train
44506040,2,train
44751010,2,train
44817020,2,train
44854010,2,train
44895010,2,train
44895020,2,train
44910020,2,train
44994030,2,train
45027010,2,train
45081010,1,train
45100020,2,train
45147010,2,train
45147020,2,train
45225010,2,train
45276020,2,train
45333010,2,train
45337010,2,train
45367020,1,train
45374010,2,train
45397041,2,train
45399020,2,train
45413020,2,train
45500010,2,train
45505020,2,train
45612010,2,train
45613040,2,train
45699010,2,train
45699020,2,train
45746040,2,train
45949010,2,train
45949020,2,train
45997010,2,train
45998010,2,train
46074020,2,train
46219020,2,train
46219030,2,train
46252030,2,train
46291020,2,train
46321010,2,train
46394010,2,train
46493010,2,train
46614020,2,train
46641020,2,train
46686020,2,train
46796010,2,train
46796020,2,train
46803020,2,train
46830010,2,train
46933020,2,train
46933030,2,train
47009010,2,train
47579030,2,train
47619010,2,train
47626010,2,train
47711021,2,train
47855010,1,train
47909010,2,train
48068010,2,train
48091020,2,train
48404040,2,train
48410010,2,train
48479010,2,train
